Cell_type,Genes
cS02 (Endo capillary),"['PLVAP', 'FABP5', 'CD320', 'GNG11', 'CD36', 'B2M', 'CD74', 'VAMP5', 'SDPR', 'TMEM88', 'SRGN', 'SLC9A3R2', 'HLA-E', 'IFI27', 'FLT1', 'RAMP2', 'ITM2B', 'HLA-DRB1', 'GSN', 'SPARCL1', 'RBP7', 'TGFBR2', 'HLA-B', 'RGCC', 'TM4SF18', 'EGFL7', 'CCDC85B', 'RBP5', 'CLDN5', 'HES1', 'RAMP3', 'HLA-DRA', 'MGLL', 'ENPP2', 'IGFBP4', 'CLEC14A', 'AC011526.1', 'SLC14A1', 'HLA-A', 'CAV1', 'NFIB', 'EHD4', 'EMCN', 'JAM2', 'HLA-C', 'ICAM2', 'FKBP1A', 'CA4', 'RNASE1', 'NOTCH4', 'SEPW1', 'PLAT', 'GIMAP7', 'ADGRL4', 'TXNIP', 'CRIP2', 'CDC37', 'SEC14L1', 'APOLD1', 'KDR', 'PRSS23', 'BCAM', 'ESAM', 'VWF', 'ENG', 'CYYR1', 'TM4SF1', 'NOSTRIN', 'ITGA6', 'HLA-DPA1', 'MYL12A', 'VWA1', 'F2RL3', 'FAM107A', 'HLA-DPB1', 'RPS28', 'PPA1', 'NQO1', 'NPDC1', 'IFI6', 'IFITM3', 'GMFG', 'CD59', 'GIMAP4', 'LDB2', 'EPAS1', 'TMEM204', 'ATOH8', 'CD34', 'SPTBN1', 'NKX2-3', 'ID2', 'ACE', 'MGST2', 'SGK1', 'NEDD9', 'KANK3', 'SPRY1', 'HLA-DMA', 'PLPP1', 'TSC22D1', 'H3F3B', 'BST2', 'UBC', 'IGKC', 'IER2', 'S100A13', 'IGHA1', 'C8orf4', 'SEPP1', 'CFAP20', 'JUNB', 'TACC1', 'VSIR', 'ZFP36', 'PLPP3', 'CTSH', 'IGFBP2', 'GABARAPL2', 'NDUFA12', 'IGFBP6', 'JCHAIN', 'POMP', 'MT-ND2', 'SORBS2', 'EPHX1', 'COX17']"
cS03 (Endo capillary),"['RGS5', 'CD36', 'CD320', 'FABP5', 'TMEM88', 'RBP7', 'TGFBR2', 'SRGN', 'NDUFA4L2', 'HIGD1B', 'CD74', 'MGLL', 'COX4I2', 'APOLD1', 'FAM107A', 'SDPR', 'PLVAP', 'STEAP4', 'TACC1', 'NOTCH3', 'CLDN5', 'FLT1', 'IGFBP2', 'ENPP2', 'SLC9A3R2', 'ADGRF5', 'JAM2', 'SEC14L1', 'HLA-DRA', 'HLA-DRB1', 'SLC14A1', 'VAMP5', 'EPAS1', 'TM4SF18', 'NFIB', 'INHBB', 'SLC2A3', 'GJA4', 'CYYR1', 'HLA-B', 'IFI27', 'HLA-DPB1', 'HLA-E', 'GNG11', 'EMCN', 'NOTCH4', 'SPRY1', 'PDGFRB', 'ARHGDIB', 'HLA-DPA1', 'LIFR', 'KDR', 'EHD4', 'S1PR1', 'TXNIP', 'HES4', 'CAV1', 'ICAM2', 'MEF2C', 'HLA-DMA', 'C8orf4', 'BTG1', 'EPS8', 'ESAM', 'TINAGL1', 'FAM110D', 'SGK1', 'PODXL', 'NOSTRIN', 'GIMAP7', 'NEDD9', 'FOSB', 'ITGA6', 'SOX17', 'HES1', 'STOM', 'MKL2', 'BTNL9', 'ITGA1', 'CPM', 'FRZB', 'EGFL7', 'PIK3R3', 'CDC42EP3', 'PTPRB', 'NR2F2', 'EMP2', 'CCDC85B', 'MIDN', 'ARHGAP29', 'SWAP70', 'NKX2-3', 'SYNPO', 'MYO1B', 'GIMAP4', 'A2M', 'SPARCL1', 'SNRK', 'GIMAP1', 'VSIR', 'COL3A1', 'SOD3', 'COL1A2', 'MYL9', 'CALD1', 'TPM2', 'C11orf96', 'GPX3', 'LHFP', 'MFGE8', 'TPM1', 'COL1A1', 'RARRES2', 'CRISPLD2', 'PPP1R14A', 'ACTA2', 'ZEB2', 'CEBPD', 'C1S', 'LGALS3BP', 'BGN', 'GEM', 'SYNPO2', 'TPPP3', 'PHLDA1', 'SEPT4', 'EGR1', 'FOS', 'EBF1', 'TIMP3', 'S100A4', 'RCAN2', 'CYGB', 'C20orf27', 'JUNB', 'LURAP1L', 'MIR143HG', 'MYLK', 'FAM162B', 'H3F3B', 'JUN', 'ARHGAP15', 'TNS1', 'COL5A3', 'MAP3K20', 'IER2', 'EDNRA', 'NDRG2', 'CHCHD10', 'CD44', 'GSN', 'KCNJ8', 'CSRP2', 'ZFP36L1', 'H2AFJ', 'GADD45B', 'NR4A1', 'FAM13C', 'CTSC', 'COL6A3', 'ASAH1', 'LGI4', 'SERPING1', 'TBX2', 'ADCY3', 'C1R']"
cS04 (Endo),"['RGS5', 'COL4A1', 'SPARC', 'COL4A2', 'MARCKSL1', 'MYO1B', 'ANGPT2', 'RGCC', 'MCAM', 'CALM1', 'PXDN', 'NOTCH3', 'UACA', 'COL15A1', 'INSR', 'CD93', 'ARHGDIB', 'KDR', 'ADGRF5', 'ITGA1', 'CYTOR', 'NDUFA4L2', 'THY1', 'TNS3', 'PDGFB', 'GJC1', 'AC068491.1', 'NREP', 'RFLNB', 'SPRY4', 'LOXL2', 'NID1', 'HSPG2', 'ETS1', 'LBH', 'PGF', 'PDGFA', 'KCNJ8', 'PDGFRB', 'HEYL', 'PLXDC1', 'PCDH17', 'ITGB1', 'EDNRA', 'PRSS23', 'COL18A1', 'NES', 'SH2B3', 'GNAI2', 'CCDC102B', 'CTNNB1', 'IVNS1ABP', 'SOX18', 'CCND1', 'NID2', 'CDH13', 'CSPG4', 'MSN', 'COL1A1', 'ESM1', 'COL5A3', 'OLFML2A', 'CDH6', 'BGN', 'LZTS1', 'ARHGEF17', 'MAP1B', 'APLNR', 'PFN1', 'VASH1', 'HECW2', 'GUCY1A2', 'IGFBP3', 'JAG1', 'TCF4', 'ADAP2', 'FLT1', 'ACTG1', 'COX4I2', 'RAB13', 'SEC14L1', 'TP53I11', 'ARHGAP18', 'GRB10', 'UNC5B', 'MPRIP', 'GPR4', 'VWF', 'TNFAIP8L1', 'HBEGF', 'ID3', 'FMNL3', 'F2R', 'NOTCH1', 'PODXL', 'MARCKS', 'VCL', 'MYH9', 'COL1A2', 'COL3A1', 'COL6A1', 'COL6A3', 'COL6A2', 'ACTA2', 'MYL9', 'COL5A2', 'CALD1', 'TPM2', 'CRISPLD2', 'SOD3', 'SPON2', 'COL5A1', 'TAGLN', 'PHLDA1', 'LGALS1', 'SDC2', 'MYLK', 'C11orf96', 'TPM1', 'FRZB', 'CD248', 'TPPP3', 'COL12A1', 'AXL', 'CYGB', 'PCOLCE', 'TBX2', 'DKK3', 'LGALS3BP', 'MMP11', 'SERPINF1', 'RAB31', 'ZEB2', 'LHFP', 'GUCY1B3', 'PAG1', 'SEPT4', 'PPP1R14A', 'SEPT11', 'OLFML2B', 'RHOBTB3', 'CD44', 'INAFM1', 'ANTXR1', 'TGFBI', 'SEMA5A', 'CHCHD10', 'CPM', 'ITM2C', 'MAP3K20', 'DDR2', 'PRKG1', 'MFGE8', 'PRRX1', 'MAP3K7CL']"
cS05 (Endo venous),"['ACKR1', 'CPE', 'CLDN5', 'NPC2', 'CLU', 'RPS28', 'ADGRG6', 'CD74', 'HLA-DRA', 'HLA-E', 'ITM2B', 'LIFR', 'HLA-DRB1', 'RPS6', 'JAM2', 'KCTD12', 'DUSP23', 'HLA-DPA1', 'SDCBP', 'RPS18', 'RPL32', 'HLA-DPB1', 'GIMAP4', 'ADIRF', 'RPL34', 'ARL4A', 'TGFBR2', 'FAM213A', 'IFI27', 'TSPAN7', 'RPS14', 'LY6E', 'PTPRB', 'TXNIP', 'RAMP3', 'TNFSF10', 'VWF', 'RPS19', 'GIMAP7', 'CTNNAL1', 'RPL11', 'TMSB4X', 'NPDC1', 'RPL26', 'SRGN', 'SOCS3', 'PDCD4', 'SDPR', 'RPL8', 'RPL13', 'RPL36', 'CLEC14A', 'IL1R1', 'RPLP2', 'ZNF385D', 'CCL14', 'RPL41', 'RPS3', 'EGFL7', 'RPL35A', 'MADCAM1', 'RPS27A', 'RNASE1', 'NFKBIA', 'MTUS1', 'SNHG7', 'LEPR', 'HLA-DMA', 'RPS25', 'NCOA7', 'RPL35', 'RPS23', 'EIF1', 'TMEM100', 'LIMCH1', 'ENPP2', 'RPL12', 'RPS4X', 'GIMAP1', 'DUSP1', 'CD320', 'RPS15', 'KLF2', 'RPS9', 'ZFP36', 'RPS12', 'RPS15A', 'AC011526.1', 'CDC42EP3', 'SPARCL1', 'STXBP6', 'MKL2', 'FOXP1', 'RPL31', 'RPS2', 'HLA-B', 'RPL37', 'HHEX', 'CYP1B1', 'SEMA6A', 'CEBPD', 'FTL', 'CIRBP', 'SRPX', 'FTH1', 'NNMT', 'JUN', 'RPL21', 'PERP', 'NR2F2', 'RPL3', 'RPS27', 'RPL13A', 'EGR1', 'CNN3', 'RPL7', 'RPS8', 'RPS3A', 'C7', 'RPL9', 'JUNB', 'RPL10', 'GLTSCR2', 'RPL30', 'RPL19', 'BCAT1', 'HMGN3', 'EEF1A1', 'PDK4', 'CTGF', 'EEF1D']"
cS06 (Endo lymphatic),"['TFF3', 'CCL21', 'TFPI', 'MMRN1', 'SDPR', 'ATP5E', 'LYVE1', 'CLDN5', 'AKAP12', 'ECSCR', 'GNG11', 'PPFIBP1', 'GYPC', 'PROX1', 'S100A10', 'ARL4A', 'CD9', 'ARL6IP1', 'RAB11A', 'EFEMP1', 'FXYD6', 'HLA-E', 'RELN', 'RPS28', 'ANXA2', 'HSPB1', 'MGST2', 'RPS12', 'RPL34', 'ADIRF', 'POLR2L', 'KBTBD11', 'TIMP3', 'RPL36', 'RPL35A', 'PPP1R2', 'RPS15A', 'ADD3', 'RPL32', 'TBX1', 'RPL13A', 'LAPTM5', 'PARD6G', 'GMFG', 'SCN3B', 'KANK3', 'STMN1', 'RPS27A', 'RPLP2', 'RPL8', 'RPS18', 'RPL26', 'RPS3', 'PTPRE', 'AC011526.1', 'RPL41', 'CLU', 'CD59', 'RPS23', 'TSHZ2', 'SNCG', 'RPL9', 'RPL37A', 'RPS14', 'RPL11', 'RPS15', 'RPL14', 'EFNA5', 'NRP2', 'TSPAN5', 'RPL10', 'PLSCR4', 'NR2F1', 'RPS25', 'LY96', 'RPL30', 'FABP4', 'RPL13', 'PGM5', 'RPL27A', 'FAM213A', 'TM4SF1', 'RPL31', 'C16orf62', 'RPL18A', 'GNAS', 'RPS29', 'FLT4', 'LIMS1', 'EGFL7', 'RPL19', 'FGL2', 'RPL15', 'RPL38', 'CTSH', 'F8', 'NUPR1', 'HYAL2', 'STON2', 'RPS6', 'FTH1', 'DKK3', 'FTL', 'EDNRB', 'MAF', 'RBP1', 'CEBPD', 'COLEC12', 'FCGRT', 'SEPP1', 'CTSD', 'PDPN', 'RPL21', 'OAZ1', 'SMYD2', 'TOMM7', 'CYB5R3', 'TC2N', 'DOCK5', 'RPL23A', 'LGALS3', 'FAU', 'RPS3A', 'SEMA3A', 'RPS8', 'CNN3', 'UGP2']"
cS07 (Endo capillary-like),"['FABP4', 'RBP7', 'BTNL9', 'AQP1', 'EGFL7', 'CD36', 'CLDN5', 'SPRY1', 'CD300LG', 'GNG11', 'GPIHBP1', 'ADGRL4', 'EMCN', 'MTUS1', 'PALMD', 'RDX', 'A2M', 'ESAM', 'APOLD1', 'GNAI2', 'CD34', 'TSPAN13', 'HYAL2', 'NOTCH4', 'ADGRF5', 'RNASE1', 'GFOD1', 'CAV1', 'MGST2', 'TMEM88', 'SRGN', 'CD74', 'CDH5', 'EMP1', 'MAST4', 'RAMP2', 'EPAS1', 'ADCY4', 'TIMP3', 'RASIP1', 'COL15A1', 'CDC42EP3', 'H3F3A', 'F8', 'TCF4', 'KANK3', 'THSD7A', 'RGCC', 'HLA-DRA', 'LAP3', 'ADAM15', 'VAMP5', 'SDPR', 'MGLL', 'CD93', 'NPDC1', 'F2RL3', 'ICAM2', 'EFNB1', 'UTRN', 'SPARCL1', 'PPARG', 'IFI27', 'MCF2L', 'TIE1', 'SGK1', 'S100A16', 'EFCAB14', 'BCL6B', 'TNFRSF4', 'CLEC14A', 'NEDD9', 'RAPGEF3', 'INHBB', 'C1orf54', 'TXNIP', 'C4orf32', 'TSPAN18', 'S1PR1', 'ITGA6', 'SYNE2', 'IGFBP4', 'FABP5', 'PODXL', 'IL32', 'SHANK3', 'YWHAH', 'NES', 'PIK3R3', 'CTSH', 'AIF1L', 'MAP1LC3B', 'BTG1', 'BCAM', 'ADAMTS9', 'HLA-E', 'VSIR', 'HLA-DRB5', 'BST2', 'FCGRT', 'CXCL12', 'GSN', 'PDK4', 'JUND', 'TUBB4B', 'ZFP36L1', 'EDNRB', 'MYC', 'ATP2B4', 'CLIC5', 'APOD', 'KCNB1', 'ATP5J', 'MYO5C', 'FAM13C', 'PLIN2', 'RTN4', 'ANKRD29', 'AQP7', 'TSC22D1', 'TUBA1A', 'AOC3', 'PRMT1', 'ACACB', 'SMTN', 'WFS1', 'TUBA1B', 'IGF2', 'LY6H']"
cS08 (Endo arterial-like),"['SRP14', 'SLC9A3R2', 'PODXL', 'GJA4', 'TM4SF1', 'EFNB2', 'INSR', 'STOM', 'RAMP2', 'SAT1', 'SRGN', 'ARL15', 'GJA5', 'PLPP1', 'CD93', 'IGFBP3', 'SEMA3G', 'AQP1', 'JAG2', 'ADGRF5', 'HSPG2', 'PTPRB', 'EPAS1', 'IFI27', 'ADAM15', 'HEG1', 'STMN1', 'NOTCH4', 'HEY1', 'PPA1', 'ID1', 'MECOM', 'ADGRL4', 'CDH5', 'ESAM', 'OCIAD2', 'THSD7A', 'CD34', 'CLEC14A', 'VEGFC', 'ATP1A1', 'NPDC1', 'RNASE1', 'MAST4', 'CRIP2', 'TMSB10', 'ICAM2', 'S1PR1', 'SOX18', 'HYAL2', 'SWAP70', 'FLT1', 'PIK3R3', 'ATP1B3', 'A2M', 'NUDT4', 'EMP1', 'SYNPO', 'ENG', 'C10orf10', 'MMRN2', 'ECSCR', 'ADAMTS6', 'MRPL33', 'PRKCDBP', 'IFITM2', 'MRPL17', 'MYL12B', 'DLL4', 'GNG11', 'JAM2', 'CYYR1', 'SEC14L1', 'MCTP1', 'IL3RA', 'POMP', 'CD46', 'SOX17', 'GNAI2', 'PALMD', 'CD9', 'ABL2', 'BMPR2', 'RHOB', 'JAG1', 'CXCL12', 'CALM1', 'ADAMTS1', 'SYNJ2', 'EGFL7', 'TCF4', 'RGS3', 'EFNA1', 'DDIT4', 'KIAA1147', 'MGST2', 'PREX2', 'PTPRM', 'KDR', 'ARHGAP4', 'MMP2', 'FBLN5', 'HES4', 'MAP1B', 'MGP', 'FN1', 'AZIN1', 'CCDC3', 'SLC6A6', 'SLC45A4', 'GNAS', 'ATP5J', 'ATP13A3', 'FBN1', 'MAP4', 'PCSK5', 'PTP4A3', 'SIPA1L2', 'S100A6', 'PCMTD1', 'ITGB1', 'TBC1D1', 'FBLIM1', 'UACA', 'PIK3C2B', 'AES', 'UNC5B', 'AC068491.1', 'UBE2J1', 'GFOD1', 'FAM89A']"
cS09 (Endo),"['HSPG2', 'VWA1', 'RGCC', 'COL4A1', 'PLVAP', 'ENG', 'INSR', 'PODXL', 'COL15A1', 'SPARC', 'FLT1', 'COL4A2', 'HECW2', 'CD34', 'VWF', 'NOTCH4', 'KDR', 'PCDH17', 'SPRY1', 'CD93', 'RAMP3', 'ADGRL4', 'ESAM', 'IVNS1ABP', 'HTRA1', 'ROBO4', 'CALCRL', 'PLXND1', 'MSN', 'CDH5', 'SLC9A3R2', 'RAMP2', 'DYSF', 'GRB10', 'CA2', 'CALM1', 'RNASE1', 'EGFL7', 'FAM167B', 'TCF4', 'TM4SF18', 'ARHGAP29', 'CDH13', 'CCDC85B', 'MARCKSL1', 'SEC14L1', 'JUP', 'SOX18', 'FKBP1A', 'SEMA3F', 'RASGRP3', 'ADGRF5', 'UPP1', 'C1orf54', 'TMEM204', 'EMCN', 'FSCN1', 'AQP1', 'PDGFB', 'TMEM255B', 'ETS1', 'APLNR', 'GNG11', 'RFLNB', 'CLEC14A', 'ITGA6', 'HYAL2', 'PLXNA2', 'DOCK6', 'MYL12B', 'NRP2', 'ARHGDIB', 'RDX', 'IGFBP3', 'ECSCR', 'GNAI2', 'NPDC1', 'PNP', 'CXorf36', 'EMP1', 'MCAM', 'SGK1', 'EHD4', 'CTNNB1', 'PCDH12', 'CRIP2', 'MPZL2', 'F2RL3', 'JAG2', 'PIK3R3', 'GMFG', 'AC068491.1', 'IGFBP7', 'ITGA5', 'DOCK9', 'A2M', 'DUSP6', 'GIMAP4', 'SYNPO', 'TMEM2', 'LAMA4', 'SERPINH1', 'NID1', 'PLPP3', 'SPRY4', 'CD81', 'CYTOR', 'LBH', 'ITGB1', 'ESM1', 'MMP2', 'PTPRG', 'GNAS', 'PMEPA1', 'MAP1B', 'APLP2', 'TP53I11', 'LOXL2', 'EDIL3', 'COL18A1', 'YWHAH', 'LAMB1', 'MMP14', 'FCN3', 'ADAMTSL2', 'ADAMTS5', 'OAF', 'FSTL1', 'BDKRB2', 'MRPL17', 'EDNRB', 'TMEM184B', 'GPR4', 'GABRD', 'CLIC1', 'MLEC', 'COL13A1', 'PREX1', 'VASH1', 'TGFB1', 'ANGPTL2', 'MGST3']"
cS10 (Endo tip cells),"['PXDN', 'CALM1', 'PGF', 'COL4A1', 'RGS3', 'HSPG2', 'COL4A2', 'RGCC', 'PDGFB', 'CD93', 'IL32', 'TNFRSF4', 'ESM1', 'ACTG1', 'ACTB', 'MCAM', 'FSCN1', 'VWA1', 'APLN', 'FKBP1A', 'TP53I11', 'LAMA4', 'VWF', 'ANGPT2', 'SERPINE1', 'CCDC85B', 'GNAI2', 'ROBO4', 'TNFAIP8L1', 'CHST1', 'PIM3', 'PCDH12', 'SPARC', 'CSTB', 'ADGRL4', 'BACE2', 'MSN', 'TM4SF1', 'COL15A1', 'MYO1B', 'TM4SF18', 'SOX18', 'TSPAN15', 'PNP', 'CLIC4', 'ITGA5', 'GMFG', 'INSR', 'TMSB10', 'ADGRF5', 'CTHRC1', 'C1orf54', 'NID2', 'MARCKSL1', 'COL18A1', 'CDH13', 'THBS1', 'IVNS1ABP', 'AFAP1L1', 'GLT25D1', 'BCL6B', 'COTL1', 'APLP2', 'RFLNB', 'ESAM', 'CDH5', 'PFN1', 'PLVAP', 'PLXND1', 'ETS1', 'ARHGAP18', 'EIF4EBP1', 'TMSB4X', 'GNG2', 'LGALS1', 'LBH', 'NES', 'DYSF', 'CFL1', 'EHD4', 'CXorf36', 'TCF4', 'MYO10', 'DOCK4', 'MYL12A', 'ANGPTL2', 'POMP', 'SLC4A7', 'ATP1B3', 'SEC14L1', 'FAM43A', 'AC011526.1', 'GNG11', 'NOTCH4', 'YWHAH', 'ADAMTS7', 'GJA1', 'GRPEL2', 'RASSF2', 'JUP', 'COL12A1', 'LAMC1', 'PDGFA', 'CYR61', 'MYL6', 'SEC61G', 'MYL9', 'TPM4', 'ITGB1', 'ACKR3', 'MMP14', 'SERPINH1', 'FLNA', 'TAGLN', 'RNF19A', 'COL27A1', 'WDR1', 'SLC38A1', 'PLS3', 'RALA', 'CCND1', 'PLOD1', 'CD276', 'PLEKHO1', 'HOMER3', 'CXCR4', 'KCNJ2', 'LXN', 'JAK1', 'LOXL2', 'ODC1', 'COL6A2', 'ADM', 'GYPC', 'CD99']"
cS11 (Endo proif),"['PCLAF', 'TUBA1B', 'H2AFZ', 'STMN1', 'HMGB1', 'TUBB', 'TK1', 'HMGB2', 'TYMS', 'BIRC5', 'UBE2C', 'HMGN2', 'CENPW', 'NUSAP1', 'MKI67', 'RRM2', 'PPIA', 'CKS1B', 'ZWINT', 'TOP2A', 'DUT', 'CENPF', 'RAN', 'MAD2L1', 'PTTG1', 'CDK1', 'CDKN3', 'UBE2T', 'SMC4', 'RANBP1', 'GGH', 'PBK', 'ENO1', 'UBE2S', 'GAPDH', 'H2AFV', 'TUBB4B', 'DTYMK', 'CKS2', 'GTSE1', 'TPM3', 'FOXM1', 'PTMA', 'NUCKS1', 'ANLN', 'TPX2', 'COTL1', 'CENPK', 'HN1', 'SNRPG', 'CALM1', 'TMPO', 'TUBB6', 'HMGN1', 'DHFR', 'YWHAH', 'HMGB3', 'TUBA1C', 'CCNA2', 'SNRPB', 'MYBL2', 'AURKB', 'H2AFX', 'ACTB', 'CEP55', 'MZT2B', 'EIF4EBP1', 'MSN', 'TMSB10', 'DEK', 'ASPM', 'FKBP1A', 'LMNB1', 'CENPM', 'NRGN', 'CFL1', 'SLC25A5', 'COL15A1', 'SHCBP1', 'KPNA2', 'CD93', 'RPA3', 'DLGAP5', 'PFN1', 'SNRPD1', 'WDR34', 'SMC2', 'RAD51AP1', 'COL4A1', 'TCF19', 'ACOT7', 'PRC1', 'DNAJC9', 'SPC25', 'PCNA', 'SEMA3F', 'RRM1', 'CKAP2', 'CCNB1', 'LSM4', 'LGALS1', 'CCNB2', 'CCDC34', 'KIF20B', 'CHCHD2', 'CENPH', 'ANP32B', 'CDC20', 'NCAPG', 'CENPN', 'TMEM106C', 'CLSPN', 'LMNB2', 'KIF23']"
cS12 (Endo),"['COL15A1', 'FKBP1A', 'COTL1', 'PRCP', 'COL4A2', 'HSPG2', 'COL4A1', 'TMSB10', 'VWA1', 'APLNR', 'CD93', 'ENG', 'SH3BGRL3', 'VWF', 'FAM167B', 'PCDH17', 'MSN', 'AC011526.1', 'PLVAP', 'MARCKSL1', 'CALCRL', 'S100A6', 'ATP5E', 'ECSCR', 'ADAM15', 'RAMP3', 'CRIP2', 'P2RY6', 'DYSF', 'RAI14', 'RGCC', 'GAPDH', 'PFN1', 'ADGRL4', 'CDH5', 'CFL1', 'PTMA', 'GNAI2', 'S100A16', 'CCDC85B', 'RAB13', 'SELE', 'SERPINE1', 'RAMP2', 'PPIA', 'VAMP5', 'FXYD5', 'S100A11', 'ATOX1', 'S100A10', 'TPM3', 'C4orf48', 'RAB11A', 'C1orf54', 'SEMA3F', 'UPP1', 'TGM2', 'RPS19', 'SERF2', 'ACKR1', 'ACTG1', 'ITGA5', 'RNASE1', 'ATP1B3', 'HYAL2', 'CDH13', 'RASGRP3', 'FSCN1', 'ARHGDIB', 'CXorf36', 'GUK1', 'SOX18', 'RPS21', 'PTRF', 'RNF145', 'RPL18A', 'TMEM255B', 'GNG11', 'RPL39', 'ELK3', 'ROBO4', 'LGALS1', 'OCIAD2', 'ETS1', 'NPDC1', 'ANXA2', 'PPM1F', 'RCAN1', 'TSPO', 'ENTPD1', 'CD34', 'SPARC', 'HECW2', 'CSTB', 'HIF1A', 'SYNPO', 'EHD4', 'GLT25D1', 'ECE1', 'ITGA6', 'COL6A2', 'RPLP1', 'FSTL1', 'PRKCDBP', 'MYL6', 'MARCKS', 'FLNA', 'RPLP0', 'CYR61', 'ACTB', 'SVIL', 'SERPINH1', 'SEC61G', 'S100A3', 'RPL28', 'LAMA4', 'THBS1', 'PKM', 'PXDN', 'RPS2', 'RPL23', 'LAMC1', 'PMP22', 'AP2S1', 'CTHRC1', 'ENO1', 'POLR2L', 'MAP1B', 'RPL37A', 'VIM', 'TPM4', 'UBA52', 'LMNA', 'IGFBP5', 'OST4', 'ZYX', 'RPS24', 'COL6A1', 'OAF', 'SSR3', 'RPL37', 'TIMM13', 'ASPH', 'EIF4EBP1', 'NT5E', 'THY1', 'LINC00340', 'TMA7', 'CD99', 'RPL14']"
cS13 (Endo venous-like),"['ACKR1', 'DUSP23', 'PRCP', 'VWF', 'SELP', 'AQP1', 'RAMP3', 'CD74', 'FKBP1A', 'RNASE1', 'ARL4A', 'SLCO2A1', 'HLA-DRA', 'ZNF385D', 'CXorf36', 'NPDC1', 'ECSCR', 'TSPAN7', 'HLA-DRB1', 'PALMD', 'IL33', 'ENTPD1', 'RPS28', 'FAM167B', 'RAMP2', 'PDLIM1', 'CALCRL', 'TPT1', 'ENG', 'HYAL2', 'ADAM15', 'APLNR', 'RASA4', 'HLA-DPA1', 'HLA-DPB1', 'RPL34', 'MALL', 'RPS24', 'HSPG2', 'RPS18', 'CD93', 'PCDH17', 'RPS23', 'TPM3', 'NCOA7', 'RPS6', 'RPL26', 'TGFBR2', 'FXYD5', 'JAM2', 'CCDC69', 'RPL32', 'MMRN2', 'GIMAP7', 'TGM2', 'MTUS1', 'MARCKSL1', 'CFI', 'RAB11A', 'CLDN5', 'ITGA6', 'CD59', 'RPL37', 'EMCN', 'ADGRL4', 'RAB3C', 'RPL39', 'SNCG', 'PKP4', 'ELK3', 'NPC2', 'NRN1', 'FOXP1', 'CLEC14A', 'STAB1', 'CDH5', 'SDCBP', 'RPS2', 'RALGAPA2', 'ITGB4', 'TMEM2', 'RAI14', 'RPS12', 'PLVAP', 'RPS3', 'EGFL7', 'RPL13', 'GUK1', 'SPARCL1', 'RPS15A', 'RPS13', 'S1PR1', 'RPS19', 'HAPLN3', 'SRGN', 'MMRN1', 'HLA-DQB1', 'CSF2RB', 'NAMPT', 'WWTR1', 'POSTN', 'NNMT', 'EEF1A1', 'RPS3A', 'ACTN1', 'IL1R1', 'NR2F2', 'RPL12', 'RPLP0', 'RPL7A', 'RPL30', 'RPL28', 'CST3', 'TSHZ2', 'EPB41L3', 'NACA', 'RPS8', 'RPS9', 'TIMP1', 'PABPC1', 'RPL10', 'RPS27A', 'RPL29', 'EEF1B2', 'RPL6', 'IER3', 'LRRC1', 'RPL5', 'UGCG', 'RPL3', 'SESN3', 'MATN2', 'RPL11', 'RPS14', 'RPL22', 'RPS5', 'RPLP1', 'RPL10A', 'RPL18', 'RPL9', 'VCAM1', 'RPL41', 'LHX6', 'RPS21', 'MEOX1', 'FAM84B', 'RPL24', 'DAAM1', 'RPS4X', 'TLL1', 'CNKSR3', 'RPL18A', 'CPXM2']"
cS14 (Endo),"['MALAT1', 'NEAT1', 'MT-CYB', 'MT-CO2', 'MT-ND4', 'MT-ND1', 'MT-CO3', 'MT-ATP6', 'MT-CO1', 'MT-ND5', 'MT-ND3', 'MT-ND2', 'MT-RNR2', 'MT-RNR1', 'TCF4', 'WSB1', 'MT-ND4L', 'RSRP1', 'DDX17', 'PNISR', 'HSPG2', 'MCL1', 'MT-ND6', 'ARGLU1', 'FUS', 'N4BP2L2', 'LUC7L3', 'KLF6', 'INSR', 'NKTR', 'NOTCH4', 'ANKRD28', 'SERPINE1', 'ITGA5', 'VEGFA']"
